"office","chamber","party","state","bioguide"
"Markey, Rep. Ed","House","Democrat","MA","M000133"
"Ayotte, Sen. Kelly A.","Senate","Republican","NH","A000368"
"Hoeven, Sen. John","Senate","Republican","ND","H001061"
"Lee, Sen. Mike","Senate","Republican","UT","L000577"
"Hochul, Rep. Kathy","House","Democrat","NY","H001062"
"Ross, Rep. Dennis Alan","House","Republican","AR","R000573"
"Akaka, Sen. Daniel","Senate","Democrat","HI","A000069"
"Alexander, Sen. Lamar","Senate","Republican","TN","A000360"
"Bingaman, Sen. Jeff","Senate","Democrat","NM","B000468"
"Boxer, Sen. Barbara","Senate","Democrat","CA","B000711"
"Cantwell, Sen. Maria","Senate","Democrat","WA","C000127"
"Chambliss, Sen. Saxby","Senate","Republican","GA","C000286"
"Cochran, Sen. Thad","Senate","Republican","MS","C000567"
"Collins, Sen. Susan","Senate","Republican","ME","C001035"
"Conrad, Sen. Kent","Senate","Democrat","ND","C000705"
"Cornyn, Sen. John","Senate","Republican","TX","C001056"
"Crapo, Sen. Mike","Senate","Republican","ID","C000880"
"Durbin, Sen. Dick","Senate","Democrat","IL","D000563"
"Ensign, Sen. John Eric","Senate","Republican","NV","E000194"
"Enzi, Sen. Mike","Senate","Republican","WY","E000285"
"Feinstein, Sen. Dianne","Senate","Democrat","CA","F000062"
"Graham, Sen. Lindsey","Senate","Republican","SC","G000359"
"Grassley, Sen. Chuck","Senate","Republican","IA","G000386"
"Harkin, Sen. Tom","Senate","Democrat","IA","H000206"
"Hatch, Sen. Orrin","Senate","Republican","UT","H000338"
"Hutchison, Sen. Kay Bailey","Senate","Republican","TX","H001016"
"Inhofe, Sen. Jim","Senate","Republican","OK","I000024"
"Inouye, Sen. Dan","Senate","Democrat","HI","I000025"
"Johnson, Sen. Tim","Senate","Democrat","SD","J000177"
"Kerry, Sen. John","Senate","Democrat","MA","K000148"
"Kohl, Sen. Herb","Senate","Democrat","WI","K000305"
"Kyl, Sen. Jon","Senate","Republican","AZ","K000352"
"Landrieu, Sen. Mary","Senate","Democrat","LA","L000550"
"Lautenberg, Sen. Frank","Senate","Democrat","NJ","L000123"
"Leahy, Sen. Patrick Joseph","Senate","Democrat","VT","L000174"
"Levin, Sen. Carl","Senate","Democrat","MI","L000261"
"Lieberman, Sen. Joe","Senate","Independent","CT","L000304"
"Lugar, Sen. Dick","Senate","Republican","IN","L000504"
"McCain, Sen. John","Senate","Republican","AZ","M000303"
"McConnell, Sen. Mitch","Senate","Republican","KY","M000355"
"Mikulski, Sen. Barbara","Senate","Democrat","MD","M000702"
"Murkowski, Sen. Lisa","Senate","Republican","AK","M001153"
"Murray, Sen. Patty","Senate","Democrat","WA","M001111"
"Nelson, Sen. Ben","Senate","Democrat","NE","N000180"
"Nelson, Sen. Bill","Senate","Democrat","FL","N000032"
"Pryor, Sen. Mark Lunsford","Senate","Democrat","AR","P000590"
"Reed, Sen. Jack","Senate","Democrat","RI","R000122"
"Reid, Sen. Harry","Senate","Democrat","NV","R000146"
"Rockefeller, Sen. Jay","Senate","Democrat","WV","R000361"
"Schumer, Sen. Chuck","Senate","Democrat","NY","S000148"
"Sessions, Sen. Jeff","Senate","Republican","AL","S001141"
"Shelby, Sen. Richard Craig","Senate","Republican","AL","S000320"
"Snowe, Sen. Olympia","Senate","Republican","ME","S000663"
"Stabenow, Sen. Debbie","Senate","Democrat","MI","S000770"
"Wyden, Sen. Ron","Senate","Democrat","OR","W000779"
"Ackerman, Rep. Gary","House","Democrat","NY","A000022"
"Aderholt, Rep. Robert","House","Republican","AL","A000055"
"Akin, Rep. Todd","House","Republican","MO","A000358"
"Alexander, Rep. Rodney","House","Republican","LA","A000361"
"Andrews, Rep. Rob","House","Democrat","NJ","A000210"
"Carper, Sen. Tom","Senate","Democrat","CA","B001234"
"Baca, Rep. Joe","House","Democrat","CA","B001234"
"Baucus, Sen. Max","Senate","Republican","AL","B000013"
"Bachus, Rep. Spencer","House","Republican","AL","B000013"
"Baldwin, Rep. Tammy Green","House","Democrat","WI","B001230"
"Hinojosa, Rep. Rub+n","House",,,
"Bartlett, Rep. Roscoe","House","Republican","MD","B000208"
"Barton, Rep. Joe","House","Republican","TX","B000213"
"Bass, Rep. Charlie","House","Republican","NH","B000220"
"Becerra, Rep. Xavier","House","Democrat","CA","B000287"
"Biggert, Rep. Judy","House","Republican","IL","B001232"
"Blunt, Sen. Roy","Senate","Republican","MO","B000575"
"Boozman, Sen. John","Senate","Republican","AR","B001236"
"Burr, Sen. Richard","Senate","Republican","NC","B001135"
"Cardin, Sen. Ben","Senate","Democrat","MD","C000141"
"DeMint, Sen. Jim","Senate","Republican","SC","D000595"
"Granger, Rep. Kay","House","Republican","TX","G000377"
"Graves, Rep. Sam","House","Republican","MO","G000546"
"Maloney, Rep. Carolyn","House","Democrat","AZ","G000551"
"Hall, Rep. Ralph","House","Republican","TX","H000067"
"Harman, Rep. Jane Lakes","House","Democrat","CA","H000213"
"Hastings, Rep. Alcee","House","Republican","WA","H000329"
"Hensarling, Rep. Jeb","House","Republican","TX","H001036"
"Herger, Rep. Wally","House","Republican","CA","H000528"
"Hinchey, Rep. Maurice","House","Democrat","NY","H000627"
"Holden, Rep. Tim","House","Democrat","PA","H000712"
"Holt, Rep. Rush Dew","House","Democrat","NJ","H001032"
"Honda, Rep. Mike","House","Democrat","CA","H001034"
"Hoyer, Rep. Steny","House","Democrat","MD","H000874"
"Inslee, Rep. Jay","House","Democrat","WA","I000026"
"Isakson, Sen. Johnny","Senate","Republican","GA","I000055"
"Issa, Rep. Darrell","House","Republican","CA","I000056"
"Jackson, Rep. Jesse Jr.","House","Democrat","IL","J000283"
"Jackson Lee, Rep. Sheila","House","Democrat","TX","J000032"
"Johnson, Rep. Sam","House","Republican","TX","J000174"
"Johnson, Rep. Tim","House","Republican","IL","J000285"
"Jones, Rep. Walter B. Jr.","House","Republican","NC","J000255"
"Kaptur, Rep. Marcy","House","Democrat","OH","K000009"
"Kildee, Rep. Dale","House","Democrat","MI","K000172"
"Kind, Rep. Ron","House","Democrat","WI","K000188"
"King, Rep. Pete","House","Republican","NY","K000210"
"King, Rep. Steve","House","Republican","IA","K000362"
"Kingston, Rep. Jack","House","Republican","GA","K000220"
"Kirk, Sen. Mark","Senate","Republican","IL","K000360"
"Kline, Rep. John","House","Republican","MN","K000363"
"Kucinich, Rep. Dennis","House","Democrat","OH","K000336"
"Langevin, Rep. Jim","House","Democrat","RI","L000559"
"Larsen, Rep. Rick","House","Democrat","WA","L000560"
"Smith, Rep. Adam","House","Democrat","WA","L000560"
"Larson, Rep. John","House","Democrat","CT","L000557"
"Latham, Rep. Tom","House","Republican","IA","L000111"
"LaTourette, Rep. Steve","House","Republican","OH","L000553"
"Lee, Rep. Barbara Jean","House","Democrat","CA","L000551"
"Lewis, Rep. John","House","Democrat","GA","L000287"
"LoBiondo, Rep. Frank","House","Republican","NJ","L000554"
"Lofgren, Rep. Zoe","House","Democrat","CA","L000397"
"Lowey, Rep. Nita","House","Democrat","NY","L000480"
"Manzullo, Rep. Donald","House","Republican","IL","M001138"
"Matheson, Rep. Jim","House","Democrat","UT","M001142"
"McCarthy, Rep. Carolyn Cook","House","Democrat","NY","M000309"
"McCollum, Rep. Betty","House","Democrat","MN","M001143"
"McCotter, Rep. Thad","House","Republican","MI","M001147"
"McDermott, Rep. Jim","House","Democrat","WA","M000404"
"McGovern, Rep. Jim","House","Democrat","MA","M000312"
"McIntyre, Rep. Mike","House","Democrat","NC","M000485"
"McKeon, Rep. Buck","House","Republican","CA","M000508"
"Meeks, Rep. Gregory","House","Democrat","NY","M001137"
"Mica, Rep. John","House","Republican","FL","M000689"
"Michaud, Rep. Mike","House","Democrat","ME","M001149"
"Miller, Rep. George","House","Democrat","CA","M000725"
"Thompson, Rep. G.T.","House","Republican","FL","M001144"
"Miller, Rep. Jeff","House","Republican","FL","M001144"
"Miller, Rep. Brad","House","Democrat","NC","M001154"
"Moran, Rep. Jim","House","Democrat","VA","M000933"
"Moran, Sen. Jerry","Senate","Republican","KS","M000934"
"Murphy, Rep. Tim","House","Republican","PA","M001151"
"Myrick, Rep. Sue","House","Republican","NC","M001134"
"Nadler, Rep. Jerry","House","Democrat","NY","N000002"
"Napolitano, Rep. Grace","House","Democrat","CA","N000179"
"Neal, Rep. Richard","House","Democrat","MA","N000015"
"Norton, Rep. Eleanor Holmes","House","Democrat","DC","N000147"
"Nunes, Rep. Devin","House","Republican","CA","N000181"
