congno,name,last,party,state
112,Karen Bass,Bass,Democrat,CA
112,Sanford D. Bishop,Bishop,Democrat,GA
112,Corrine Brown,Brown,Democrat,FL
112,G. K. Butterfield,Butterfield,Democrat,NC
112,Andr&eacute; Carson,Carson,Democrat,IN
112,Donna M. Christensen,Christensen,Democrat,VI
112,Hansen Clarke,Clarke,Democrat,MI
112,Yvette Diane Clarke,Clarke,Democrat,NY
112,William L. Clay,Clay,Democrat,MO
112,Emanuel Cleaver,Cleaver,Democrat,MO
112,James E. Clyburn,Clyburn,Democrat,SC
112,John Conyers,Conyers,Democrat,MI
112,Elijah E. Cummings,Cummings,Democrat,MD
112,Danny K. Davis,Davis,Democrat,IL
112,Donna F. Edwards,Edwards,Democrat,MD
112,Keith Ellison,Ellison,Democrat,MN
112,Chaka Fattah,Fattah,Democrat,PA
112,Marcia L. Fudge,Fudge,Democrat,OH
112,Al Green,Green,Democrat,TX
112,Alcee Hastings,Hastings,Democrat,FL
112,Sheila Jackson Lee,Lee,Democrat,TX
112,Jesse Jackson,Jackson,Democrat,IL
112,Eddie Bernice Johnson,Johnson,Democrat,TX
112,Hank Johnson,Johnson,Democrat,GA
112,Barbara Lee,Lee,Democrat,CA
112,John Lewis,Lewis,Democrat,GA
112,Gregory W. Meeks,Meeks,Democrat,NY
112,Gwendolynne S. (Gwen) Moore,Moore,Democrat,WI
112,Eleanor Holmes Norton,Norton,Democrat,DC
112,Donald M. Payne,Payne,Democrat,NJ
112,Charles B. Rangel,Rangel,Democrat,NY
112,Laura Richardson,Richardson,Democrat,CA
112,Cedric Richmond,Richmond,Democrat,LA
112,Bobby L. Rush,Rush,Democrat,IL
112,David Scott,Scott,Democrat,GA
112,Robert C. Scott,Scott,Democrat,VA
112,Tim Scott,Scott,Republican,SC
112,Terri Sewell,Sewell,Democrat,AL
112,Bennie Thompson,Thompson,Democrat,MS
112,Edolphus Towns,Towns,Democrat,NY
112,Maxine Waters,Waters,Democrat,CA
112,Melvin L. Watt,Watt,Democrat,NC
112,Allen West,West,Republican,FL
112,Frederica Wilson,Wilson,Democrat,FL
