fips,name,total_population,margin_of_error
31001,"Adams County, NE",31299,0
31003,"Antelope County, NE",6655,0
31005,"Arthur County, NE",490,64
31007,"Banner County, NE",778,73
31009,"Blaine County, NE",584,76
31011,"Boone County, NE",5473,0
31013,"Box Butte County, NE",11345,0
31015,"Boyd County, NE",2025,114
31017,"Brown County, NE",3183,97
31019,"Buffalo County, NE",46330,0
31021,"Burt County, NE",6829,0
31023,"Butler County, NE",8345,0
31025,"Cass County, NE",25214,0
31027,"Cedar County, NE",8807,0
31029,"Chase County, NE",3964,0
31031,"Cherry County, NE",5722,0
31033,"Cheyenne County, NE",10038,0
31035,"Clay County, NE",6497,0
31037,"Colfax County, NE",10453,0
31039,"Cuming County, NE",9140,0
31041,"Custer County, NE",10904,0
31043,"Dakota County, NE",20869,0
31045,"Dawes County, NE",9176,0
31047,"Dawson County, NE",24267,0
31049,"Deuel County, NE",1962,0
31051,"Dixon County, NE",5982,0
31053,"Dodge County, NE",36590,0
31055,"Douglas County, NE",518271,0
31057,"Dundy County, NE",1996,0
31059,"Fillmore County, NE",5867,0
31061,"Franklin County, NE",3196,0
31063,"Frontier County, NE",2693,99
31065,"Furnas County, NE",4922,0
31067,"Gage County, NE",22209,0
31069,"Garden County, NE",2011,92
31071,"Garfield County, NE",2106,115
31073,"Gosper County, NE",2020,0
31075,"Grant County, NE",608,89
31077,"Greeley County, NE",2515,0
31079,"Hall County, NE",58681,0
31081,"Hamilton County, NE",9096,0
31083,"Harlan County, NE",3419,0
31085,"Hayes County, NE",1037,99
31087,"Hitchcock County, NE",2898,0
31089,"Holt County, NE",10418,0
31091,"Hooker County, NE",689,88
31093,"Howard County, NE",6294,0
31095,"Jefferson County, NE",7572,0
31097,"Johnson County, NE",5188,0
31099,"Kearney County, NE",6514,0
31101,"Keith County, NE",8284,0
31103,"Keya Paha County, NE",742,97
31105,"Kimball County, NE",3789,0
31107,"Knox County, NE",8648,0
31109,"Lancaster County, NE",286425,0
31111,"Lincoln County, NE",36212,0
31113,"Logan County, NE",724,74
31115,"Loup County, NE",534,83
31117,"McPherson County, NE",348,68
31119,"Madison County, NE",34766,0
31121,"Merrick County, NE",7779,0
31123,"Morrill County, NE",4993,0
31125,"Nance County, NE",3730,0
31127,"Nemaha County, NE",7224,0
31129,"Nuckolls County, NE",4490,0
31131,"Otoe County, NE",15729,0
31133,"Pawnee County, NE",2753,0
31135,"Perkins County, NE",2947,0
31137,"Phelps County, NE",9184,0
31139,"Pierce County, NE",7231,0
31141,"Platte County, NE",32195,0
31143,"Polk County, NE",5371,0
31145,"Red Willow County, NE",11013,0
31147,"Richardson County, NE",8355,0
31149,"Rock County, NE",1540,114
31151,"Saline County, NE",14278,0
31153,"Sarpy County, NE",159413,0
31155,"Saunders County, NE",20696,0
31157,"Scotts Bluff County, NE",36835,0
31159,"Seward County, NE",16729,0
31161,"Sheridan County, NE",5432,0
31163,"Sherman County, NE",3133,0
31165,"Sioux County, NE",1262,73
31167,"Stanton County, NE",6139,0
31169,"Thayer County, NE",5195,0
31171,"Thomas County, NE",831,87
31173,"Thurston County, NE",6926,0
31175,"Valley County, NE",4322,83
31177,"Washington County, NE",20201,0
31179,"Wayne County, NE",9542,0
31181,"Webster County, NE",3773,0
31183,"Wheeler County, NE",725,115
31185,"York County, NE",13727,0
