column,start,length
FILEID,1,6
STUSAB,7,2
SUMLEV,9,3
GEOCOMP,12,2
CHARITER,14,3
CIFSN,17,2
LOGRECNO,19,7
REGION,26,1
DIVISION,27,1
STATECE,28,2
STATE,30,2
COUNTY,32,3
COUNTYSC,35,2
COUSUB,37,5
COUSUBCC,42,2
COUSUBSC,44,2
PLACE,46,5
PLACECC,51,2
PLACEDC,53,1
PLACESC,54,2
TRACT,56,6
BLKGRP,62,1
BLOCK,63,4
IUC,67,2
CONCIT,69,5
CONCITCC,74,2
CONCITSC,76,2
AIANHH,78,4
AIANHHFP,82,5
AIANHHCC,87,2
AIHHTLI,89,1
AITSCE,90,3
AITS,93,5
AITSCC,98,2
ANRC,100,5
ANRCCC,105,2
MSACMSA,107,4
MASC,111,2
CMSA,113,2
MACCI,115,1
PMSA,116,4
NECMA,120,4
NECMACCI,124,1
NECMASC,125,2
EXI,127,1
UA,128,5
UASC,133,2
UATYPE,135,1
UR,136,1
CD106,137,2
CD108,139,2
CD109,141,2
CD110,143,2
SLDU,145,3
SLDL,148,3
VTD,151,6
VTDI,157,1
ZCTA3,158,3
ZCTA5,161,5
SUBMCD,166,5
SUBMCDCC,171,2
AREALAND,173,14
AREAWATR,187,14
NAME,201,90
FUNCSTAT,291,1
GCUNI,292,1
POP100,293,9
RES,302,9
INTPTLAT,311,9
INTPTLON,320,10
LSADC,330,2
PARTFLAG,332,1
SDELM,333,5
SDSEC,338,5
SDUNI,343,5
TAZ,348,6
UGA,354,5
PUMA5,359,5
PUMA1,364,5
RESERVE2,369,15
MACC,384,5
UACP,389,5
RESERVED,394,7
