AIANHH,STATE,COUNTY,COUSUBCE,RT,CODE,POP,VAPOP,VACIT,VACLANG,VACLEP,ILLIT,CILLIT,LEPPCT,ILLRAT,FENG5I,FENG10I,NAME1,STABRV,NAME21,RACEGP
0000,00,000,000,1,,281421905,209279150,193376975,23406075,8079960,831225,2613480,418,135,,,U.S.,,,TOTAL PERSONS
0000,02,050,000,1,,16005,9615,9510,6355,2570,540,705,2702,2101,,,Bethel Census Area,AK,,TOTAL PERSONS
0000,02,050,000,4,040,10185,5770,5770,4850,1980,425,505,2082,2146,*,,Bethel Census Area,AK,,ESKIMO
0000,02,070,000,1,,4920,3025,3005,1215,410,180,235,1364,4390,,,Dillingham Census Area,AK,,TOTAL PERSONS
0000,02,070,000,4,040,2675,1515,1515,885,310,140,170,1032,4516,*,,Dillingham Census Area,AK,,ESKIMO
0000,02,150,000,1,,13915,9385,8425,1590,700,80,100,831,1143,,,Kodiak Island Borough,AK,,TOTAL PERSONS
0000,02,150,000,6,005,2265,1505,870,785,470,60,60,558,1277,*,,Kodiak Island Borough,AK,,FILIPINO
0000,02,180,000,1,,9195,5795,5750,1920,435,50,150,757,1149,,,Nome Census Area,AK,,TOTAL PERSONS
0000,02,180,000,4,040,6575,3895,3895,1685,360,45,145,626,1250,*,,Nome Census Area,AK,,ESKIMO
0000,02,185,000,1,,7385,4565,4425,2380,705,150,195,1593,2128,,,North Slope Borough,AK,,TOTAL PERSONS
0000,02,185,000,4,040,4640,2590,2590,1775,525,120,165,1186,2286,*,,North Slope Borough,AK,,ESKIMO
0000,02,188,000,1,,7210,4225,4200,1920,490,55,145,1167,1122,,,Northwest Arctic Borough,AK,,TOTAL PERSONS
0000,02,188,000,4,040,4980,2785,2785,1475,335,45,110,798,1343,*,,Northwest Arctic Borough,AK,,ESKIMO
0000,02,270,000,1,,7030,3750,3740,2245,700,250,365,1872,3571,,,Wade Hampton Census Area,AK,,TOTAL PERSONS
0000,02,270,000,4,040,5465,2855,2855,1755,570,210,320,1524,3684,*,,Wade Hampton Census Area,AK,,ESKIMO
0000,04,001,000,1,,69425,42750,42405,28305,11635,2915,4085,2744,2505,,,Apache County,AZ,,TOTAL PERSONS
0000,04,001,000,4,021,52685,30775,30775,26430,11245,2860,3945,2652,2543,*,#,Apache County,AZ,,NAVAJO
0000,04,003,000,1,,117755,86860,80670,19700,5640,640,1300,699,1135,,,Cochise County,AZ,,TOTAL PERSONS
0000,04,003,000,2,,36195,23040,18095,14400,4325,620,1025,536,1434,*,,Cochise County,AZ,,SPANISH/HISPANIC/LATINO
0000,04,005,000,1,,116320,82985,80225,21150,7140,1550,2060,890,2171,,,Coconino County,AZ,,TOTAL PERSONS
0000,04,005,000,4,021,30070,17115,17115,14315,5405,1440,1760,674,2664,*,,Coconino County,AZ,,NAVAJO
0000,04,011,000,1,,8545,5825,5710,1695,340,20,55,595,588,,,Greenlee County,AZ,,TOTAL PERSONS
0000,04,011,000,2,,3700,2370,2270,1530,315,15,30,552,476,*,,Greenlee County,AZ,,SPANISH/HISPANIC/LATINO
0000,04,013,000,1,,3072150,2246840,1980215,290260,82965,7905,19085,419,953,,,Maricopa County,AZ,,TOTAL PERSONS
0000,04,013,000,2,,763335,467025,263425,174290,53385,6785,11555,270,1271,,#,Maricopa County,AZ,,SPANISH/HISPANIC/LATINO
0000,04,017,000,1,,97470,62855,62040,26045,10655,2305,3185,1717,2163,,,Navajo County,AZ,,TOTAL PERSONS
0000,04,017,000,4,021,30880,17670,17655,15515,7185,2190,2850,1158,3048,*,,Navajo County,AZ,,NAVAJO
0000,04,019,000,1,,843745,636765,585235,127285,32905,3440,6560,562,1045,,,Pima County,AZ,,TOTAL PERSONS
0000,04,019,000,2,,247860,158730,122045,89225,23220,2870,4190,397,1236,,#,Pima County,AZ,,SPANISH/HISPANIC/LATINO
0000,04,023,000,1,,38380,25480,18815,13505,5885,490,675,3128,833,,,Santa Cruz County,AZ,,TOTAL PERSONS
0000,04,023,000,2,,31040,19440,12945,12365,5585,480,650,2968,859,*,,Santa Cruz County,AZ,,SPANISH/HISPANIC/LATINO
0000,04,027,000,1,,160025,113930,90360,25520,8440,1235,1955,934,1463,,,Yuma County,AZ,,TOTAL PERSONS
0000,04,027,000,2,,80830,48245,26460,21210,7440,1175,1645,823,1579,*,,Yuma County,AZ,,SPANISH/HISPANIC/LATINO
0000,06,000,000,1,,33871650,24650185,20011575,5324945,2030790,247850,418760,1015,1220,,,,CA,,TOTAL PERSONS
0000,06,000,000,2,,10969130,6927625,3888220,2716495,1003995,164235,237765,502,1636,*,,,CA,,SPANISH/HISPANIC/LATINO
0000,06,001,000,1,,1443740,1090280,896920,226615,87865,9040,16320,980,1029,,,Alameda County,CA,,TOTAL PERSONS
0000,06,001,000,2,,273885,182280,106285,62710,22010,3060,4475,245,1390,+,#,Alameda County,CA,,SPANISH/HISPANIC/LATINO
0000,06,001,000,6,004,121805,92895,62155,48535,28280,3105,3575,315,1098,,#,Alameda County,CA,,CHINESE (INCLUDING TAIWANESE)
0000,06,003,000,1,,1210,935,920,70,20,4,4,217,2000,,,Alpine County,CA,,TOTAL PERSONS
0000,06,003,000,2,,,,,,,,,,,+,,Alpine County,CA,,SPANISH/HISPANIC/LATINO
0000,06,005,000,1,,35100,27820,27430,1915,475,20,240,173,421,,,Amador County,CA,,TOTAL PERSONS
0000,06,005,000,2,,3105,2205,2045,925,265,15,85,097,566,+,,Amador County,CA,,SPANISH/HISPANIC/LATINO
0000,06,007,000,1,,203170,154525,146805,11095,3595,410,1200,245,1140,,,Butte County,CA,,TOTAL PERSONS
0000,06,007,000,2,,21375,13375,9105,4745,1675,230,360,114,1373,+,,Butte County,CA,,SPANISH/HISPANIC/LATINO
0000,06,009,000,1,,40555,31355,30920,1775,335,0,150,108,000,,,Calaveras County,CA,,TOTAL PERSONS
0000,06,009,000,2,,2730,1780,1645,605,105,0,45,034,000,+,,Calaveras County,CA,,SPANISH/HISPANIC/LATINO
0000,06,011,000,1,,18805,12860,9685,2185,960,250,405,991,2604,,,Colusa County,CA,,TOTAL PERSONS
0000,06,011,000,2,,8830,5320,2265,1740,805,250,360,831,3106,*,,Colusa County,CA,,SPANISH/HISPANIC/LATINO
0000,06,013,000,1,,948815,697810,613960,109730,36975,3120,6465,602,844,,,Contra Costa County,CA,,TOTAL PERSONS
0000,06,013,000,2,,168060,107435,63880,37065,13115,1515,2235,214,1155,+,#,Contra Costa County,CA,,SPANISH/HISPANIC/LATINO
0000,06,015,000,1,,27505,20605,19745,1100,265,55,175,134,2075,,,Del Norte County,CA,,TOTAL PERSONS
0000,06,015,000,2,,3710,2710,2230,370,90,4,35,046,444,+,,Del Norte County,CA,,SPANISH/HISPANIC/LATINO
0000,06,017,000,1,,156300,115610,109920,7110,1820,95,440,166,522,,,El Dorado County,CA,,TOTAL PERSONS
0000,06,017,000,2,,14420,8900,5455,2160,795,70,135,072,881,+,,El Dorado County,CA,,SPANISH/HISPANIC/LATINO
0000,06,019,000,1,,799405,543830,446270,126970,44750,10750,18080,1003,2402,,,Fresno County,CA,,TOTAL PERSONS
0000,06,019,000,2,,352205,215315,140720,94245,32195,7770,12045,721,2413,*,#,Fresno County,CA,,SPANISH/HISPANIC/LATINO
0000,06,021,000,1,,26455,18360,15375,2345,930,170,330,605,1828,,,Glenn County,CA,,TOTAL PERSONS
0000,06,021,000,2,,7785,4580,1940,1635,710,125,210,462,1761,+,,Glenn County,CA,,SPANISH/HISPANIC/LATINO
0000,06,023,000,1,,126520,97305,94715,6110,1630,170,575,172,1043,,,Humboldt County,CA,,TOTAL PERSONS
0000,06,023,000,2,,7750,5160,3940,1605,505,115,145,053,2277,+,,Humboldt County,CA,,SPANISH/HISPANIC/LATINO
0000,06,025,000,1,,142360,97640,74450,42980,17225,3315,4640,2314,1925,,,Imperial County,CA,,TOTAL PERSONS
0000,06,025,000,2,,103085,66320,44445,39000,16110,3250,4275,2164,2017,*,#,Imperial County,CA,,SPANISH/HISPANIC/LATINO
0000,06,027,000,1,,17945,13555,12850,880,310,4,35,241,129,,,Inyo County,CA,,TOTAL PERSONS
0000,06,027,000,2,,2245,1340,820,425,210,4,10,163,190,+,,Inyo County,CA,,SPANISH/HISPANIC/LATINO
0000,06,029,000,1,,661645,450875,385495,86900,30095,5970,11280,781,1984,,,Kern County,CA,,TOTAL PERSONS
