FILEID,STUSAB,SUMLEV,GEOCOMP,CHARITER,CIFSN,LOGRECNO,REGION,DIVISION,STATE,COUNTY,COUNTYCC,COUNTYSC,COUSUB,COUSUBCC,COUSUBSC,PLACE,PLACECC,PLACESC,TRACT,BLKGRP,BLOCK,IUC,CONCIT,CONCITCC,CONCITSC,AIANHH,AIANHHFP,AIANHHCC,AIHHTLI,AITSCE,AITS,AITSCC,TTRACT,TBLKGRP,ANRC,ANRCCC,CBSA,CBSASC,METDIV,CSA,NECTA,NECTASC,NECTADIV,CNECTA,CBSAPCI,NECTAPCI,UA,UASC,UATYPE,UR,CD,SLDU,SLDL,VTD,VTDI,RESERVE2,ZCTA5,SUBMCD,SUBMCDCC,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,RESERVE3,UGA,STATENS,COUNTYNS,COUSUBNS,PLACENS,CONCITNS,AIANHHNS,AITSNS,ANRCNS,SUBMCDNS,CD113,CD114,CD115,SLDU2,SLDU3,SLDU4,SLDL2,SLDL3,SLDL4,AIANHHSC,CSASC,CNECTASC,MEMI,NMEMI,PUMA,RESERVED
PLST,IL,040,0,0,,0000001,2,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143793362385,6202038080,Illinois,A,!,12830632,5296715,40.1028754,-89.1526108,00,,,,01779784,,,,,,,,,,,,,,,,,,,,,,,,
PLST,IL,500,0,0,,0000002,2,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,,,,,,,,,,,252729607,1811690,Congressional District 1,N,,587596,253783,41.6759168,-87.7116047,C2,,,,01779784,,,,,,,,,,,,,,,,,,,,,,,,
PLST,IL,510,0,0,,0000003,2,3,17,031,H1,,,,,,,,,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,252729607,1811690,Cook County (part),A,,587596,253783,41.7145845,-87.6822067,06,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000004,2,3,17,031,H1,,,,,,,,350100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,9639,0,Census Tract 3501 (part),S,,0,0,41.8389326,-87.6166065,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000005,2,3,17,031,H1,,,,,,,,351000,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,234618,0,Census Tract 3510 (part),S,,1392,970,41.8345533,-87.6159391,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000006,2,3,17,031,H1,,,,,,,,351100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,346344,0,Census Tract 3511,S,,1960,848,41.82778,-87.6130062,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000007,2,3,17,031,H1,,,,,,,,351400,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,51900,0,Census Tract 3514 (part),S,,173,138,41.8303026,-87.6261719,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000008,2,3,17,031,H1,,,,,,,,360200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,193149,0,Census Tract 3602 (part),S,,925,371,41.8262141,-87.6094904,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000009,2,3,17,031,H1,,,,,,,,380100,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,437445,0,Census Tract 3801,S,,1924,1174,41.8196613,-87.6106236,CT,W,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
PLST,IL,511,0,0,,0000010,2,3,17,031,H1,,,,,,,,380200,,,,,,,,,,,,,,,,,,16980,,16974,176,,,,,,,,,,,01,,,,,,,,,,,,43657,0,Census Tract 3802 (part),S,,67,33,41.8229721,-87.6144445,CT,P,,,01779784,01784766,,,,,,,,,,,,,,,,,,,,True,,,
