Event Desc|En No|Site Name|Licensee Name|Region No|City Name|State Cd|County Name|License No|Agreement State Ind|Docket No|Unit Ind1|Unit Ind2|Unit Ind3|Reactor Type|Nrc Notified By|Ops Officer|Notification Dt|Notification Time|Event Dt|Event Time|Time Zone|Last Updated Dt|Emergency Class|Cfr Cd1|Cfr Descr1|Cfr Cd2|Cfr Descr2|Cfr Cd3|Cfr Descr3|Cfr Cd4|Cfr Descr4|Staff Name1|Org Abbrev1|Staff Name2|Org Abbrev2|Staff Name3|Org Abbrev3|Staff Name4|Org Abbrev4|Staff Name5|Org Abbrev5|Staff Name6|Org Abbrev6|Staff Name7|Org Abbrev7|Staff Name8|Org Abbrev8|Staff Name9|Org Abbrev9|Staff Name10|Org Abbrev10|Scram Code 1|RX CRIT 1|Initial PWR 1|Initial RX Mode1|Current PWR 1|Current RX Mode 1|Scram Code 2|RX CRIT 2|Initial PWR 2|Initial RX Mode 2|Current PWR 2|Current RX Mode 2|Scram Code 3|RX CRIT 3|Initial PWR 3|Initial RX Mode 3|Current PWR 3|Current RX Mode 3|Event Text|
Power Reactor|46521|PILGRIM|ENTERGY NUCLEAR|1|PLYMOUTH|MA|PLYMOUTH||Y|05000293|1|||[1] GE-3|MERT PROBASCO|MARK ABRAMOVITZ|1/5/2011 00:00:00|09:03|1/5/2011 00:00:00|01:20|EST|3/4/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||NEIL PERRY|R1DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||REACTOR CORE ISOLATION COOLING DECLARED INOPERABLE  "On January 5, 2011, at 0120 hours, with the reactor at 100% thermal power and steady state conditions, Pilgrim Nuclear Power Station (PNSP) declared the Reactor Core Isolation Cooling (RCIC) system inoperable due to the RCIC suction isolation valve from the Torus/Suppression Pool (RCIC-26) failing to go fully closed during planned surveillance testing.  The RCIC-26 is a motor-operated valve (MOV) and its normal position is closed.  The RClC-26 valve is redundant to the RCIC-25 valve, and is not the credited containment isolation valve.  The RCIC-26 valve has a safety function to be (manually) opened during certain event mitigation scenarios requiring a transfer of suction sources from the Condensate Storage Tank (CST) to the Torus.  "Based on the valve failing to fully close during MOV stroke time testing per PNPS Procedure 8.5.5.4, the RCIC system was declared inoperable at 0120 hours and the appropriate LCO was entered.  The RCIC-26 was subsequently returned to a full open position, caution tagged and the RCIC system was declared operable.  The LCO was exited at 0200 hours.  An investigation of the event is underway and continuing.  "This event had no impact on the health and/or safety of the public.  "The NRC Resident Inspector is on-site and has been notified.  "This is an 8-hour notification made in accordance with 50.72(b)(3)(v)(D)."  The licensee will notify the State of Massachusetts.   * * * RETRACTION FROM JOSEPH LYNCH TO JOHN KNOKE AT 1946 EST ON 3/4/11 * * *  "Event Notification 46521 was conservatively made to ensure that the Eight-Hour Non-Emergency reporting requirements of 10 CFR 50.72 were satisfied pending the evaluation of RCIC System operability.  "On 01/05/11, at 0120 hours the RCIC System was declared inoperable due to uncertainty of RCIC System Operability when the Torus/Suppression Pool Suction Valve (RCIC-26) failed to go fully closed during planned surveillance testing. The valve was restored to the full open position and the valve was declared operable based on capability to meet the required safety function to fully open when RCIC pump suction from the suppression pool is required.  "The apparent cause evaluation concluded that valve failure was the result of high relay contact resistance in the closing control circuit components of the valve breaker. This failure prevented the valve from fully closing but had no affect on capability to open the valve. Surveillance testing verified that capability to open the valve was not affected.  "Corrective action was completed to clean or replace the control circuit relay contacts. Post work testing confirmed capability to open and close the valve. An extent of condition for similar breaker control circuit components was also performed. All relevant technical information is documented in the corrective action system.  "The failure observed did not affect the valve's required safety function and did not impact RCIC System operability. Thus there was no impact on nuclear safety. This event is not reportable pursuant to 10 CFR 50.72(b)(3)(v)(D) .  "Event Number 46521, made on 01/05/2011, is being retracted."  The licensee has notified the NRC Resident Inspector.  Notified R1DO (Anthony Dimitriadis)|
Agreement State|46528|WISCONSIN RADIATION PROTECTION|SAINT NICHOLAS HOSPITAL|3|SHEBOYGEN|WI||117-1302-01|Y||||||CHRIS TIMMERMAN|JOE O'HARA|1/10/2011 00:00:00|14:29|1/10/2011 00:00:00||CST|3/1/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||MICHAEL KUNOWSKI|R3DO|JIM LUEHMAN|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - NUMEROUS MEDICAL EVENTS FROM PROSTATE BRACHYTHERAPY  The following was received from the state via fax;  "In July 2010, the Wisconsin Department of Health Services (DHS) sent out an Information Notice to all licensees who perform prostate brachytherapy and asked them to perform a comprehensive review of all prostate brachytherapy cases to determine whether any medical events had occurred.  On January 10, 2011, the licensee's Radiation Safely Officer reported the identification of five medical events involving permanent implants of I-125 for prostate brachytherapy where the total dose delivered differs from the prescribed dose by 20% or more. The licensee is identifying a medical event of any case where D90<135 Gy or D90>195 Gy for patients who receive seed implants only. [D90 is a recognized value in the regulatory guidelines and means a dose of 90% to the prostate.  Anything outside of the D90 value is considered to be a medical event.] The licensee performed a comprehensive review of all 44 prostate implants performed since August 2003. The licensee's five medical events include one overdose to the prostate and four underdoses to the prostate.  All were patients who received seed implants only. No medical events were identified involving doses to other organs or tissue above 0.50 Sv and 50% more than the expected dose. The licensee has notified the referring physicians and will not be notifying the affected patients per DHS 157.72(1)(e).  "Overdoses (medical event criteria used: D90>195 Gy): 11/13/2008: 199.15 Gy  "Underdoses (medical event criteria used: D90<135 Gy): 2/9/2007: 100.20 Gy;  11/12/2007: 127.34 Gy;  6/16/2008: 130.12 Gy; and  7/13/2010: 116.16 Gy"   * * * UPDATE FROM CHRIS TIMMERMAN TO JOHN KNOKE AT 1212 EST ON 2/1/11 * * *  "This is an update to Event Notification 46528. The licensee recently performed post-implant dosimetry on seven prostate brachytherapy patients whose post-implant dosimetry had never been performed. Evaluation of these seven implants prompted the licensee to report two additional medical events. The medical events involved permanent implants of l-125 for prostate brachytherapy where the total dose delivered to the prostate differs from the prescribed dose by 20% or more. The licensee is in the process of notifying the affected patients and referring physicians.  "Underdoses (medical event criteria used: D90<135 Gy):  8/22/2005: 102.89 Gy; and 5/8/2006: 126.24 Gy;  "DHS will send a special inspection team to determine the root cause(s) of these medical events."  WI Event Report ID No.: WI 110001 Update    Notified FSME(Angela McIntire) and R3DO (Richard Skokowski)   A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.  * RETRACTION FROM MEGAN SHOBER TO JOHN SHOEMAKER VIA FACSIMLE AT 1355 EST ON 3/1/11 *  "This is a second update to Event Notification 46528. The licensee is retracting an overdose previously reported for a patient who received a permanent prostate implant on November 13, 2008.  During a reactive inspection conducted on February 18, 2011, DHS inspectors identified that post-implant dosimetry of prostate brachytherapy implants had not been performed appropriately.  Specifically, the licensee's former physics consultant generated post-plans that were not based on the number of I-125 seeds actually implanted in the patients.  For the patient in question, the original post-plan was based on an implant of 98 seeds; however, only 76 seeds were actually implanted. The licensee's current physicist generated a new post-plan using the correct number of I-125 seeds and observed a corresponding reduction in dose delivered.  The new D90 value for this patient does not meet the licensee's medical event criteria."  WI Event Report ID No.: WI 110002,  2nd Update    Notified FSME(McIntosh) and R3DO (Dickson)|
Power Reactor|46548|SAINT LUCIE|FLORIDA POWER & LIGHT CO.|2|FT. PIERCE|FL|ST LUCIE||Y|05000335|1|2||[1] CE,[2] CE|BRAD BISHOP|HOWIE CROUCH|1/18/2011 00:00:00|10:48|1/19/2011 00:00:00|02:00|EST|3/24/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(xiii)|LOSS COMM/ASMT/RESPONSE|||||||MARVIN SYKES|R2DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0|Refueling|0|Refueling|N|N|0||0||EMERGENCY RESPONSE DATA ACQUISITION AND DISPLAY SYSTEM (ERDADS) REMOVED FROM SERVICE FOR MAINTENANCE  "On 1/19/11, St Lucie Unit 1 and Unit 2 will lose the computer trains associated with Emergency Response Data Acquisition and Display System (ERDADS). Unit 1 will be removed for corrective maintenance, and Unit 2 will be removed for system modification. It is expected that Unit 1 will be restored by 1/21/11, and Unit 2 will be returned to a functional status prior to core reload and fully operational by March 20, 2011. Further, neither Unit 1 nor Unit 2 ERDADS will be removed from service until Unit 2 has defueled (currently scheduled for 1/19/2011 at 0200). This is an advance notification of a planned loss of emergency assessment capability, which will be reportable under 10CFR50.72(b)(3)(xiii). Other means to monitor critical data exists. Notification will be made when each unit is restored to available status."  The licensee has notified the NRC Resident Inspector.  * * * UPDATE FROM REESE KILIAN TO HOWIE CROUCH @ 0952 EST ON 1/19/11 * * *  "Unit 1 and 2 ERDADS have been removed from service at 0955 [EST]."  The licensee has notified the NRC Resident Inspector.  * * * UPDATE FROM TIMOTHY KUDO TO JOHN SHOEMAKER @ 1527 EST ON 01/20/11 * * *   Unit 1 ERDADS has been returned to available status as of 1520 EST on 01/20/11.  Unit 2 ERDADS remains out of service.  The licensee has notified the NRC Resident Inspector.  * * * UPDATE FROM BISHOP TO HUFFMAN AT 2013 EDT ON 3/24/11 * * *  Unit 1 and Unit 2 ERDADS have both been restored to service as of 1600 EDT on 3/24/11.    The licensee has notified the NRC Resident Inspector.  R2DO (Rich) notified.|
Power Reactor|46562|KEWAUNEE|NUCLEAR MANAGEMENT COMPANY|3|KEWAUNEE|WI|KEWAUNEE||Y|05000305|1|||[1] W-2-LP|MIKE TERRY|JOHN KNOKE|1/21/2011 00:00:00|22:25|1/21/2011 00:00:00|15:39|CST|3/22/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(ii)(B)|UNANALYZED CONDITION|50.72(b)(3)(v)(B)|POT RHR INOP|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||TAMARA BLOOMER|R3DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||STEAM EXCLUSION DOOR DECLARED INOPERABLE  "On 1/21/2011 at 1539 CST, the NRC Resident Inspector informed the Control Room that the lower Cane bolt was disengaged on Steam Exclusion Door 3, between Emergency Diesel Generator Room B and the Cardox Room. While the Cane bolt was not engaged, the barrier was Non-Functional and, in accordance with TRM 3.0.9, all equipment supported by that steam exclusion barrier was immediately declared inoperable. This included both Emergency Diesel Generators A & 8, safety-related 4160 V Busses 5 & 6, Service Water Trains A & B, and safety-related 480 V Busses 51, 52, 61. & 62. In addition, with Service Water inoperable, the following equipment was also inoperable in accordance with TRM 3.3.1: Component Cooling Trains A & B, Safety Injection Trains A & B, Residual Heat Removal Trains A & B, Containment Spray and Cooling Trains A & B, Auxiliary Feedwater Pumps A & B, and the Turbine Driven Auxiliary Feedwater Pump. With all three AFW pumps inoperable. TS 3 A.b.2 was entered to immediately initiate action to restore one AFW Train to operable status and suspend all LCOs requiring mode changes until one AFW Train is restored to operable status.  "Steam Exclusion Door 3 was properly secured at 1545 CST on 1/21/2011, and LCO 3.0.c and TS 3 A.b.2 were exited at that time. All equipment affected by the steam exclusion barrier is operable.  "This is reportable under 10 CFR 50.72 (b)(3)(v)(B), 'Any event or condition that at the time of discovery could have prevented the fulfillment of a safety function,' and under 10 CFR 50.72(b)(3)(ii)(B) 'any event or condition that results in the nuclear plant being in an unanalyzed condition that significantly degrades plant safety.'"  The licensee notified the NRC Resident Inspector.   * * * RETRACTION FROM CRAIG J. NEUSER TO DONALD NORWOOD AT 1427 EDT ON 3/22/2011 * * *  "Retraction of EN #46562 Non-Functional Steam Exclusion Door.  "On January 21, 2011, EN #46562 provided notification that both trains of ESF equipment (e.g., SI, RHR, ICS, etc ) were inoperable following discovery that the lower cane bolt was disengaged on steam exclusion Door 3, between emergency diesel generator Room B and an adjacent equipment room in the turbine building.  With the lower cane bolt disengaged, the steam exclusion barrier was considered non-functional.  "A subsequent engineering evaluation determined that the Door 3 lower cane bolt was not required for Door 3 to fulfill its function as a steam exclusion barrier.  The previously reported condition would not have resulted in an environment that would have adversely impacted the equipment protected by Door 3.  Therefore, the door remained functional and the supported ESF equipment remained operable.  Consequently, this condition did not meet the reportability criteria in 10CFR50.72.  "As a result, the notification made on January 21, 2011, in EN #46562 is hereby retracted.    "The NRC Senior Resident Inspector has been notified."  Notified R3DO(Cameron).|
Agreement State|46577|MA RADIATION CONTROL PROGRAM|MASSACHUSETTS GENERAL HOSPITAL|1|BOSTON|MA|SUFFOLK|RCN01762|Y||||||ANTHONY CARPENITO|JOHN SHOEMAKER|1/31/2011 00:00:00|13:59|1/13/2011 00:00:00||EST|3/4/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||JAMES DWYER|R1DO|RICHARD TURTIL|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - POTENTIAL DOSE EXCEEDING ANNUAL OCCUPATIONAL DOSE LIMIT FOR ADULTS  The following was received via email:  "On 1/13/11, the licensee reported to the agency [Massachusetts Radiation Control Program] a potential dose exceeding the adult occupational total effective dose equivalent limit of 5 rem.  The situation causing this event occurred during late December 2010, when a number of emergency repairs within a cyclotron were conducted over several days.  The potential for overexposure was suspected on 1/5/11.  A dosimeter exposure readings report of the [Optically Stimulated Luminescence OSL] was received by the licensee from the dosimeter service, after quick read, on 1/13/11.  Affected individual's annual TEDE reported at 5457 mrem.  Exposure (1596 mrem) obtained by official [OSL] dosimeters worn during cyclotron repair operations differed significantly from exposure (620 mrem) obtained by electronic dosimeter worn simultaneously during cyclotron repair operations.  Electronic dosimeters are used by individuals for real-time readings during the repair operations.  The licensee removed affected individual from any potentially high exposure operations.  "Investigation ongoing.  Intermediate and draft reports have been received.  Awaiting final written report by licensee.  "The Agency considers this event to still be OPEN."  Massachusetts Event # 01-9454.  Notified R1DO (Dwyer) and FSME (McIntosh).  * * * UPDATE FROM TONY CARPENITO TO JOHN SHOEMAKER AT 1441 EST ON 03/03/11 VIA EMAIL * * *   "Subsequent on-site agency inspection performed.  Licensee submitted follow-up report [on] 2/28/11.  "Cause Description: Misinterpretation of licensee's pre-existing policy restricting workers when YTD [year-to-date] annual exposures approach in-house limits and over-reliance on real-time electronic dosimeters worn specifically during  potentially high exposure operations.  "Precipitating factor:  Over-reliance on real-time electronic dosimeters worn specifically during potentially high exposure operations.   "Corrective Action:  Licensee to implement policy re-write to minimize subjective misinterpretations, change full-time dosimeter exchange frequency to obtain more current year-to-date exposure totals, replace current job-specific dosimeters with different type of dosimeter better suited to monitor type of work involved, apply administrative correction factors to readings of job-specific dosimeters to obtain more conservative real-time results.   "The individual [involved in this event was] removed from potentially high exposure operations during investigation and re-instated several weeks later on 3/3/11.  "Although the Agency considers this specific situation to be closed, it will be revisited during future inspections."  The report did not state whether an over exposure actually occurred.  Notified R1DO (Dimitriadis) and FSME (McIntosh).  * * * UPDATE FROM TONY CARPENITO TO CHARLES TEAL AT 0832 EST ON 03/03/11 VIA TELEPHONE * * *   The Massachusetts Radiation Control Program determined the individual received a dose of 5457 mrem.  Notified R1DO (Dimitriadis) and FSME (McIntosh).|
Non-Agreement State|46601|CRITTENTON HOSPITAL MEDICAL CENTER|CRITTENTON HOSPITAL MEDICAL CENTER|3|ROCHESTER|MI||21-13562-01|N||||||V. ARTERBERY|MARK ABRAMOVITZ|2/8/2011 00:00:00|12:05|2/7/2011 00:00:00|16:00|EST|3/7/2011 00:00:00|NON EMERGENCY|35.3045(a)(1)|DOSE <> PRESCRIBED DOSAGE|||||||ERIC DUNCAN|R3DO|ANGELA MCINTOSH|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||MEDICAL EVENTS - ACTUAL DOSE LESS THAN PRESCRIBED DOSE  Nine breast cancer patients were treated with a multi-channel high dose rate afterloader with the incorrect dwell positions input into the afterloader controller.  The intended prescription was for 5 mm between dwell positions.  The actual input was 2.5 mm between dwell positions.  The prescribed dose was for 3400 cGy and the actual dose delivered was approximately 25% less.  No adverse clinical effects are expected.    The doctors and patients will be notified.  * * * UPDATE FROM DR. VIVIAN ARTERBERY TO JOHN SHOEMAKER AT 1507 EST ON 03/07/11 * * *   There were a total of eleven breast cancer patients involved.  Seven of the eleven patients had small areas of unintended target that received unplanned dose.    The doctors and patients have been notified.  Notified R3DO (Riemer) and FSME (McIntosh)    A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.|
Power Reactor|46607|MILLSTONE|DOMINION GENERATION|1|WATERFORD|CT|NEW LONDON||N||||3|[1] GE-3,[2] CE,[3] W-4-LP|TODD FISHER|PETE SNYDER|2/11/2011 00:00:00|12:35|2/11/2011 00:00:00|08:45|EST|3/21/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(C)|POT UNCNTRL RAD REL|||||||RONALD BELLAMY|R1DO|||||||||||||||||||N|N|0||0||N|N|0||0||N|Y|100|Power Operation|100|Power Operation|TEARS DISCOVERED IN FLEXIBLE PIPE SEALS  "On February 11, 2011, during a plant walk down, it was discovered that two flexible boots sealing two piping penetrations in the secondary containment boundary had a total of three small tears rendering them inoperable.  "Technical Specification 3.6.6.2, 'Secondary Containment,' is applicable in Modes 1, 2, 3, and 4 and was entered.  Since Secondary Containment was rendered inoperable, Dominion is reporting that this condition could have prevented the fulfillment of the safety function to control the release of radioactive material.  Further engineering review will be conducted to more fully evaluate the impact on radiological controls."  No actual release occurred as a result of this condition.  The licensee notified the NRC Resident Inspector, the State of Connecticut and the Town of Waterford.   * * * RETRACTION FROM ROBERT ACQUARO TO DONALD NORWOOD AT 1503 EDT ON 3/21/2011 * * *  "On February 11, 2011, small tears were discovered on flexible boots sealing two piping penetrations in the secondary containment boundary on Millstone Power Station Unit 3.  Operators made a report in accordance with 10CFR50.72(b)(3)(v)(C).  "Subsequently, an engineering evaluation has been completed that concludes that the discovered tears would not have prevented the fulfillment of the safety function of the secondary containment boundary.  Therefore, the condition reported in event report 46607 is being retracted.  "The NRC Senior Resident Inspector has been notified."  Notified R1DO (Rogge).|
Agreement State|46643|TEXAS DEPARTMENT OF HEALTH|TRICAN WELL SERVICE|4|SPRINGTOWN|TX||GLA G02259|Y||||||KAREN BLANCHARD|JOE O'HARA|2/25/2011 00:00:00|19:03|2/25/2011 00:00:00|16:15|CST|2/25/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||VIVIAN CAMPBELL|R4DO|ROBERT LEWIS|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||MISSING SHUTTER HANDLE ON BERTHOLD MODEL LB 8010 PORTABLE DENSITY GAUGE   On 2/22/11, Trican Well Service was preparing to use the portable gauge at a well jobsite in De Soto Parish, Louisiana when they discovered the gauge was missing its shutter handle.  The crew stopped work, took surveys to ensure the shutter was fully closed, and placed the gauge out of service until a repair can be performed. The device is a Berthold Model LB 8010 serial number 10074 portable density gauge used in well servicing operations.  The device contains 20 milliCuries of Cs-137, serial number 014808.  The crew does not know when the handle became detached.  They searched the jobsite for the handle but were unsuccessful in recovering it.  The device is in the custody of the licensee.  Berthold has been contacted and plans to repair the gauge on March 1, 2011.   Texas Incident No. I-8825|
Agreement State|46648|IOWA DEPARTMENT OF PUBLIC HEALTH|UNIVERSITY OF IOWA|3|IOWA CITY|IA||0037152AAB|Y||||||RANDAL DAHLIN|CHARLES TEAL|2/28/2011 00:00:00|12:14|2/22/2011 00:00:00||CST|2/28/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||BILLY DICKSON|R3DO|ANGELA MCINTOSH|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - STATIC ELIMINATOR SOURCE SEAL INTEGRITY LOST  "The following report was received by the Iowa Department of Public Health (IDPH) on February 23, 2011. On February 22, 2011, the University of Iowa Environmental Health and Safety (EHS) staff discovered evidence that a Nickel-63 foil in a custom made static eliminator had lost its seal integrity. The source in question consists of two 8.951 mCi Ni-63 foils that are housed in a custom built static eliminator (2 inch diameter steel pipe with the foils glued to the walls of the pipe). The static eliminator is attached to a chamber apparatus located in a fume hood within a principal investigator's lab. The results of the leak test indicated approximately 40,203 dpm (0.0181 uCi's) of activity on a wipe taken of several areas in the apparatus housing the Ni-63 foils. EHS personnel bagged the static eliminator and returned it to EHS for disposal. The two Ni-63 sources were purchased from DuPont/Merck in March of 1995. The Principle Investigator (PI) had been conducting research using these sources since that time. The University RSO reports that the PI does not have any more of these custom devices and will be pursuing other options for research. A previous leaking Ni-63 foil was reported as NMED Item Number 100592."  Iowa Incident No. 110002|
Power Reactor|46649|INDIAN POINT|ENTERGY NUCLEAR|1|BUCHANAN|NY|WESTCHESTER||Y|05000247|2|||[2] W-4-LP,[3] W-4-LP|PHIL SANTINI|JOHN KNOKE|3/1/2011 00:00:00|12:54|3/1/2011 00:00:00|11:00|EST|3/1/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(iv)(A)|VALID SPECIF SYS ACTUATION|||||||ANTHONY DIMITRIADIS|R1DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||EMERGENCY DIESEL GENERATORS START ON A LOSS OF POWER FROM 138 KV CIRCUIT  "At 1100 EST, Indian Point Unit 2 experienced a loss of offsite power from the 138 Kv circuit.  All three Emergency Diesel Generators automatically started as required.  All other plant systems functioned as required.  Restoration of offsite power from the 13.8 Kv offsite circuit is in progress.  Investigation into the loss of the 138 Kv circuit is ongoing.  Indian Point, Unit 2 continues in Mode 1 at 100 % power."  Indian Point, Unit 2 is in a 72 hour LCO due to a loss of 1 of 2 offsite circuits.  Unit 3 was not affected.  The licensee has notified the NRC Resident Inspector and will be notifying the Public Service Commission of the State of New York.|
